"MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","OTHERORGANICSTONS","BOROUGH_ID"
"2022 / 01","Bronx","01","2992.7","214.5","135.6",,,,"6.8",,"2"
"2022 / 01","Bronx","02","7412.7","217.1","207.1",,,"14.0","9.8",,"2"
"2022 / 01","Bronx","03","1984.9","122.1","155.3",,,,"4.2",,"2"
"2022 / 01","Bronx","04","3688.2","275.0","341.8",,,,"12.4",,"2"
"2022 / 01","Bronx","05","3166.8","223.1","330.2",,,,"7.6",,"2"
"2022 / 01","Bronx","06","3039.1","208.7","207.5",,"52.7",,"9.2",,"2"
"2022 / 01","Bronx","07","3506.5","308.0","479.4",,,,"11.7",,"2"
"2022 / 01","Bronx","08","2179.8","301.6","348.1","14.3",,,"7.2",,"2"
"2022 / 01","Bronx","09","3409.6","227.5","343.6",,,,"9.8",,"2"
"2022 / 01","Bronx","10","2248.7","289.4","339.7",,,,"9.8",,"2"
"2022 / 01","Bronx","11","2936.3","300.8","328.7",,,,"8.6",,"2"
"2022 / 01","Bronx","12","3518.7","334.0","527.2",,,,"5.4",,"2"
"2022 / 01","Brooklyn","01","5395.0","714.3","482.0","17.8",,,"28.5",,"3"
"2022 / 01","Brooklyn","02","2352.0","519.6","406.8","28.7","36.3",,"40.1",,"3"
"2022 / 01","Brooklyn","03","4043.3","441.4","362.5",,,,"14.1",,"3"
"2022 / 01","Brooklyn","04","4158.7","360.9","367.2",,,,"6.4",,"3"
"2022 / 01","Brooklyn","05","4368.7","258.7","407.0",,,,"2.1",,"3"
"2022 / 01","Brooklyn","06","2052.2","526.9","403.7","72.0","46.8",,"33.4",,"3"
"2022 / 01","Brooklyn","07","2966.2","376.1","367.8","28.1",,,"15.2",,"3"
"2022 / 01","Brooklyn","08","5409.3","331.9","294.8",,"27.3","1.0","13.1",,"3"
"2022 / 01","Brooklyn","09","2830.6","274.0","244.2",,,,"6.0",,"3"
"2022 / 01","Brooklyn","10","3272.8","442.3","437.4",,,,"25.9",,"3"
"2022 / 01","Brooklyn","11","7184.5","553.0","506.7",,"81.5","18.2","11.8","4.4","3"
"2022 / 01","Brooklyn","12","6016.3","636.0","359.9",,"49.1",,"3.6",,"3"
"2022 / 01","Brooklyn","13","2437.7","278.9","196.9",,,,"3.3",,"3"
"2022 / 01","Brooklyn","14","4265.6","447.9","403.1",,,,"9.1",,"3"
"2022 / 01","Brooklyn","15","4082.5","518.0","471.6",,"24.9",,"5.9",,"3"
"2022 / 01","Brooklyn","16","2730.4","132.1","155.3",,,,"6.7",,"3"
"2022 / 01","Brooklyn","17","3864.3","287.2","409.2",,,,"4.1",,"3"
"2022 / 01","Brooklyn","18","4680.5","493.3","565.4",,,,"8.7",,"3"
"2022 / 01","Manhattan","01","1389.2","347.1","219.1",,,,"32.8",,"1"
"2022 / 01","Manhattan","02","1980.8","424.4","294.9",,"27.4",,"26.3",,"1"
"2022 / 01","Manhattan","03","5353.7","431.2","337.6",,"37.7",,"11.1","21.0","1"
"2022 / 01","Manhattan","04","3069.1","588.9","321.3",,,"3.6","23.0",,"1"
"2022 / 01","Manhattan","05","1374.3","241.3","172.4",,,,"17.4",,"1"
"2022 / 01","Manhattan","06","2946.9","699.6","348.9","5.7",,,"28.6",,"1"
"2022 / 01","Manhattan","07","4377.6","960.2","694.3","24.9","35.5",,"42.8",,"1"
"2022 / 01","Manhattan","08","4932.9","980.5","705.4",,,,"89.2",,"1"
"2022 / 01","Manhattan","09","2123.2","249.4","247.0",,"50.3",,"15.9",,"1"
"2022 / 01","Manhattan","10","5922.6","255.9","255.2",,"35.4","6.0","10.8","9.2","1"
"2022 / 01","Manhattan","11","2239.7","201.2","175.5",,,,"9.8",,"1"
"2022 / 01","Manhattan","12","4415.6","422.2","463.3",,"49.1",,"15.1",,"1"
"2022 / 01","Queens","01","3809.2","639.9","615.3",,,,"23.4",,"4"
"2022 / 01","Queens","02","3689.3","560.3","436.2",,"79.1",,"15.2",,"4"
"2022 / 01","Queens","03","4278.6","354.8","485.1",,,,"22.0",,"4"
"2022 / 01","Queens","04","3786.2","310.7","513.8",,,,"33.0",,"4"
"2022 / 01","Queens","05","4319.9","584.3","661.6",,"47.2",,"40.0",,"4"
"2022 / 01","Queens","06","2444.6","370.3","366.5",,,,"13.6",,"4"
"2022 / 01","Queens","07","7993.2","929.1","729.5",,,,"36.9",,"4"
"2022 / 01","Queens","08","3323.9","420.1","371.0",,,,"7.2",,"4"
"2022 / 01","Queens","09","3636.4","433.9","513.1",,"59.4",,"27.0",,"4"
"2022 / 01","Queens","10","3189.5","335.0","482.8",,,,"11.3",,"4"
"2022 / 01","Queens","11","2531.9","452.1","414.8",,"63.7",,"42.0",,"4"
"2022 / 01","Queens","12","5826.9","471.0","789.0",,,,"10.1",,"4"
"2022 / 01","Queens","13","4239.9","423.9","747.9",,,,"10.0",,"4"
"2022 / 01","Queens","14","3135.0","265.7","227.2",,,,"13.5",,"4"
"2022 / 01","Staten Island","01","4958.5","675.0","644.6",,,,"21.7",,"5"
"2022 / 01","Staten Island","02","4538.3","510.0","501.8",,"16.4","18.1","14.3","4.8","5"
"2022 / 01","Staten Island","03","5138.2","701.3","622.6",,"14.7",,"20.9",,"5"
"2022 / 02","Bronx","01","3125.8","209.0","132.6",,,,,,"2"
"2022 / 02","Bronx","02","7236.4","262.7","215.9",,,"1.0",,,"2"
"2022 / 02","Bronx","03","2040.3","114.7","142.0",,,,,,"2"
"2022 / 02","Bronx","04","3743.9","273.9","316.9",,,,,,"2"
"2022 / 02","Bronx","05","3223.1","231.4","310.9",,,,,,"2"
"2022 / 02","Bronx","06","3062.3","192.2","190.4",,"44.9",,,,"2"
"2022 / 02","Bronx","07","3480.1","282.0","441.9",,,,,,"2"
"2022 / 02","Bronx","08","2146.7","281.0","345.0","16.0",,,,,"2"
"2022 / 02","Bronx","09","3421.6","231.7","343.5",,,,,,"2"
"2022 / 02","Bronx","10","2390.8","295.2","347.0",,,,,,"2"
"2022 / 02","Bronx","11","2868.1","298.8","325.1",,,,,,"2"
"2022 / 02","Bronx","12","3522.2","352.9","518.4",,,,,,"2"
"2022 / 02","Brooklyn","01","5656.5","734.6","469.2","20.4",,,,,"3"
"2022 / 02","Brooklyn","02","2453.1","506.0","403.8","35.1","40.0",,,,"3"
"2022 / 02","Brooklyn","03","4250.0","436.8","364.5",,,,,,"3"
"2022 / 02","Brooklyn","04","4183.2","342.2","362.3",,,,,,"3"
"2022 / 02","Brooklyn","05","4599.8","245.1","375.2",,,,,,"3"
"2022 / 02","Brooklyn","06","2115.1","538.5","410.8","69.3","51.8",,,,"3"
"2022 / 02","Brooklyn","07","3201.1","378.8","360.0","31.6",,,,,"3"
"2022 / 02","Brooklyn","08","5452.1","317.7","272.0",,"30.7",,,,"3"
"2022 / 02","Brooklyn","09","2918.3","298.0","259.0",,,,,,"3"
"2022 / 02","Brooklyn","10","3556.9","431.8","434.3",,,,,,"3"
"2022 / 02","Brooklyn","11","7623.8","559.9","527.9",,"64.9",,,"9.6","3"
"2022 / 02","Brooklyn","12","6631.3","713.9","375.7",,"34.3",,,,"3"
"2022 / 02","Brooklyn","13","2509.4","268.2","223.7",,,,,,"3"
"2022 / 02","Brooklyn","14","4637.0","448.5","399.2",,,,,,"3"
"2022 / 02","Brooklyn","15","4490.6","541.2","484.4",,"22.8",,,,"3"
"2022 / 02","Brooklyn","16","2826.1","136.2","155.2",,,,,,"3"
"2022 / 02","Brooklyn","17","4048.8","273.3","398.1",,,,,,"3"
"2022 / 02","Brooklyn","18","4969.7","508.9","565.6",,,,,,"3"
"2022 / 02","Manhattan","01","1421.6","365.3","266.3",,,,,,"1"
"2022 / 02","Manhattan","02","2055.2","411.7","298.7",,"28.9",,,,"1"
"2022 / 02","Manhattan","03","5467.3","482.4","350.6",,"49.6",,,"26.8","1"
"2022 / 02","Manhattan","04","3212.0","657.1","403.4",,,,,,"1"
"2022 / 02","Manhattan","05","1400.7","262.3","171.7",,,,,,"1"
"2022 / 02","Manhattan","06","2986.8","773.9","419.9","5.3",,,,,"1"
"2022 / 02","Manhattan","07","4424.5","965.6","749.7","32.4","34.3",,,,"1"
"2022 / 02","Manhattan","08","5173.8","1038.3","780.6",,,,,,"1"
"2022 / 02","Manhattan","09","2113.8","275.5","269.1",,"40.2",,,,"1"
"2022 / 02","Manhattan","10","5754.3","271.0","246.2",,"34.5",,,,"1"
"2022 / 02","Manhattan","11","2259.5","202.1","171.7",,,,,,"1"
"2022 / 02","Manhattan","12","4613.2","416.9","456.5",,"39.7",,,,"1"
"2022 / 02","Queens","01","3918.8","584.2","575.0",,,,,,"4"
"2022 / 02","Queens","02","3745.7","549.5","430.5",,"63.7",,,,"4"
"2022 / 02","Queens","03","4549.9","343.2","471.7",,,,,,"4"
"2022 / 02","Queens","04","3869.8","310.8","510.5",,,,,,"4"
"2022 / 02","Queens","05","4508.8","560.9","656.1",,"47.6",,,,"4"
"2022 / 02","Queens","06","2531.7","355.4","355.6",,,,,,"4"
"2022 / 02","Queens","07","7967.6","893.0","708.4",,,,,,"4"
"2022 / 02","Queens","08","3518.8","426.6","370.8",,,,,,"4"
"2022 / 02","Queens","09","3642.8","424.0","484.9",,"64.3",,,,"4"
"2022 / 02","Queens","10","3377.7","314.6","457.8",,,,,,"4"
"2022 / 02","Queens","11","2545.0","408.7","381.4",,"58.4",,,,"4"
"2022 / 02","Queens","12","6029.6","473.3","791.0",,,,,,"4"
"2022 / 02","Queens","13","4380.6","395.9","734.1",,,,,,"4"
"2022 / 02","Queens","14","3239.9","247.4","217.0",,,,,,"4"
"2022 / 02","Staten Island","01","5119.9","645.2","628.7",,,,,,"5"
"2022 / 02","Staten Island","02","4602.6","492.4","493.5",,"21.4","17.3",,"8.6","5"
"2022 / 02","Staten Island","03","5338.1","692.8","637.6",,"17.4",,,,"5"
"2022 / 03","Bronx","01","3474.4","221.9","141.2",,,,,,"2"
"2022 / 03","Bronx","02","8226.1","246.8","232.6",,,,,,"2"
"2022 / 03","Bronx","03","2186.1","151.4","178.2",,,,,,"2"
"2022 / 03","Bronx","04","4107.0","310.1","358.7",,,,,,"2"
"2022 / 03","Bronx","05","3335.5","212.8","321.6",,,,,,"2"
"2022 / 03","Bronx","06","3492.3","251.1","246.9",,"92.2",,,,"2"
"2022 / 03","Bronx","07","3822.1","305.0","515.5",,,,,,"2"
"2022 / 03","Bronx","08","2287.0","309.0","364.5","27.4",,,,,"2"
"2022 / 03","Bronx","09","3767.3","237.9","369.9",,,,,,"2"
"2022 / 03","Bronx","10","2607.0","287.6","343.3",,,,,,"2"
"2022 / 03","Bronx","11","3244.7","304.4","348.3",,,,,,"2"
"2022 / 03","Bronx","12","3943.0","351.8","564.1",,,,,,"2"
"2022 / 03","Brooklyn","01","6455.3","735.5","530.2","21.9",,,,,"3"
"2022 / 03","Brooklyn","02","2673.2","530.2","412.6","43.4","35.7",,,,"3"
"2022 / 03","Brooklyn","03","4565.7","523.3","407.1",,,,,,"3"
"2022 / 03","Brooklyn","04","4581.5","353.1","376.5",,,,,,"3"
"2022 / 03","Brooklyn","05","5061.9","265.8","477.0",,,,,,"3"
"2022 / 03","Brooklyn","06","2224.5","549.2","408.5","97.1","63.9",,,,"3"
"2022 / 03","Brooklyn","07","3402.6","387.2","378.5","39.2",,,,,"3"
"2022 / 03","Brooklyn","08","5998.2","344.2","307.1",,"37.2",,,,"3"
"2022 / 03","Brooklyn","09","3158.7","325.8","269.2",,,,,,"3"
"2022 / 03","Brooklyn","10","3704.1","433.4","456.1",,,,,,"3"
"2022 / 03","Brooklyn","11","8193.6","571.8","528.6",,"104.9",,,"7.3","3"
"2022 / 03","Brooklyn","12","7452.0","735.6","429.5",,"109.6",,,,"3"
"2022 / 03","Brooklyn","13","2751.8","285.7","232.5",,,,,,"3"
"2022 / 03","Brooklyn","14","4976.4","465.4","412.7",,,,,,"3"
"2022 / 03","Brooklyn","15","4812.1","558.6","507.1",,"27.5",,,,"3"
"2022 / 03","Brooklyn","16","3152.9","148.9","171.5",,,,,,"3"
"2022 / 03","Brooklyn","17","4285.7","301.1","431.1",,,,,,"3"
"2022 / 03","Brooklyn","18","5521.3","527.9","604.4",,,,,,"3"
"2022 / 03","Manhattan","01","1559.7","359.6","234.1",,,,,,"1"
"2022 / 03","Manhattan","02","2143.4","456.1","319.6",,"28.3",,,,"1"
"2022 / 03","Manhattan","03","6030.1","511.8","373.3",,"40.1",,,"25.9","1"
"2022 / 03","Manhattan","04","3429.8","638.7","374.4",,,,,,"1"
"2022 / 03","Manhattan","05","1612.6","301.5","196.5",,,,,,"1"
"2022 / 03","Manhattan","06","3299.0","752.1","401.1","8.7",,,,,"1"
"2022 / 03","Manhattan","07","4689.3","981.1","733.1","37.6","33.1",,,,"1"
"2022 / 03","Manhattan","08","5417.1","1010.2","757.3",,,,,,"1"
"2022 / 03","Manhattan","09","2283.6","254.1","244.5",,"20.8",,,,"1"
"2022 / 03","Manhattan","10","6348.4","305.1","281.8",,"22.4",,,,"1"
"2022 / 03","Manhattan","11","2585.1","221.3","198.7",,,,,,"1"
"2022 / 03","Manhattan","12","4885.6","472.9","513.4",,"52.7",,,,"1"
"2022 / 03","Queens","01","4297.8","630.4","614.3",,,,,"13.0","4"
"2022 / 03","Queens","02","4008.0","581.2","451.0",,"197.8",,,,"4"
"2022 / 03","Queens","03","4784.4","361.4","506.1",,,,,,"4"
"2022 / 03","Queens","04","4098.7","307.0","633.0",,,,,,"4"
"2022 / 03","Queens","05","4811.9","600.7","699.5",,"153.6",,,,"4"
"2022 / 03","Queens","06","2746.7","382.8","374.7",,,,,,"4"
"2022 / 03","Queens","07","8845.3","939.4","752.9",,,,,,"4"
"2022 / 03","Queens","08","3905.2","454.7","408.3",,,,,,"4"
"2022 / 03","Queens","09","3992.8","435.4","524.8",,"158.7",,,,"4"
"2022 / 03","Queens","10","3683.3","345.3","488.4",,,,,,"4"
"2022 / 03","Queens","11","2843.6","445.0","435.5",,"96.1",,,,"4"
"2022 / 03","Queens","12","6810.6","497.0","871.6",,,,,,"4"
"2022 / 03","Queens","13","4978.6","438.7","800.9",,,,,,"4"
"2022 / 03","Queens","14","3611.4","279.1","250.4",,,,,,"4"
"2022 / 03","Staten Island","01","5831.3","668.9","688.8",,,,,,"5"
"2022 / 03","Staten Island","02","5068.6","501.5","538.3",,"30.6","10.1",,"11.6","5"
"2022 / 03","Staten Island","03","5862.2","701.8","656.9",,"26.6",,,,"5"
"2022 / 04","Bronx","01","3183.5","229.4","133.4",,,,,,"2"
"2022 / 04","Bronx","02","7859.0","273.9","219.8",,,,,,"2"
"2022 / 04","Bronx","03","2044.9","121.3","143.7",,,,,,"2"
"2022 / 04","Bronx","04","3848.1","302.5","344.6",,,,,,"2"
"2022 / 04","Bronx","05","3221.6","201.9","315.5",,,,,,"2"
"2022 / 04","Bronx","06","3218.0","217.3","197.5",,"62.7",,,,"2"
"2022 / 04","Bronx","07","3639.2","298.7","439.7",,,,,,"2"
"2022 / 04","Bronx","08","2221.1","295.8","344.1","31.8",,,,,"2"
"2022 / 04","Bronx","09","3771.0","234.0","355.4",,,,,,"2"
"2022 / 04","Bronx","10","2709.0","292.0","346.0",,,,,,"2"
"2022 / 04","Bronx","11","3142.6","293.2","340.0",,,,,,"2"
"2022 / 04","Bronx","12","3919.1","336.9","557.7",,,,,,"2"
"2022 / 04","Brooklyn","01","6808.4","786.5","482.6","21.3",,,,,"3"
"2022 / 04","Brooklyn","02","2606.7","527.6","406.1","50.7","22.6",,,,"3"
"2022 / 04","Brooklyn","03","4733.0","490.1","357.3",,,,,,"3"
"2022 / 04","Brooklyn","04","4451.7","347.8","366.6",,,,,,"3"
"2022 / 04","Brooklyn","05","4852.8","250.2","433.2",,,,,,"3"
"2022 / 04","Brooklyn","06","2184.9","542.8","405.1","102.5","45.5",,,,"3"
"2022 / 04","Brooklyn","07","3309.8","378.3","362.4","48.8",,,,,"3"
"2022 / 04","Brooklyn","08","5826.7","319.4","281.4",,"31.0",,,,"3"
"2022 / 04","Brooklyn","09","3076.4","314.9","268.0",,,,,,"3"
"2022 / 04","Brooklyn","10","3669.5","431.4","437.7",,,,,,"3"
"2022 / 04","Brooklyn","11","8204.5","573.5","519.7",,"64.6",,,"9.8","3"
"2022 / 04","Brooklyn","12","8622.5","871.4","492.8",,"83.2",,,,"3"
"2022 / 04","Brooklyn","13","2636.6","281.0","237.2",,,,,,"3"
"2022 / 04","Brooklyn","14","5124.4","476.6","443.9",,,,,,"3"
"2022 / 04","Brooklyn","15","4878.2","554.3","514.2",,"54.3",,,,"3"
"2022 / 04","Brooklyn","16","2872.6","141.8","171.4",,,,,,"3"
"2022 / 04","Brooklyn","17","4297.0","295.8","409.4",,,,,,"3"
"2022 / 04","Brooklyn","18","5527.3","534.7","620.7",,,,,,"3"
"2022 / 04","Manhattan","01","1475.7","375.6","251.7",,,,,,"1"
"2022 / 04","Manhattan","02","2148.1","416.8","291.9",,"18.7",,,,"1"
"2022 / 04","Manhattan","03","5824.1","474.8","358.0",,"29.0",,,"26.4","1"
"2022 / 04","Manhattan","04","3196.2","664.3","371.4",,,,,,"1"
"2022 / 04","Manhattan","05","1584.6","265.4","172.4",,,,,,"1"
"2022 / 04","Manhattan","06","3179.1","765.9","401.7","9.0",,,,,"1"
"2022 / 04","Manhattan","07","4540.6","1010.7","747.2","40.9","25.2",,,,"1"
"2022 / 04","Manhattan","08","5415.9","1037.0","751.3",,,,,,"1"
"2022 / 04","Manhattan","09","2204.2","274.0","267.3",,"16.0",,,,"1"
"2022 / 04","Manhattan","10","6222.4","290.2","269.7",,"22.9",,,,"1"
"2022 / 04","Manhattan","11","2416.9","193.2","166.0",,,,,,"1"
"2022 / 04","Manhattan","12","4694.2","409.5","444.8",,"21.2",,,,"1"
"2022 / 04","Queens","01","4134.1","593.6","586.9",,,,,"13.6","4"
"2022 / 04","Queens","02","3921.6","546.7","413.4",,"144.7",,,,"4"
"2022 / 04","Queens","03","4668.5","352.9","485.0",,,,,,"4"
"2022 / 04","Queens","04","3990.8","301.0","591.4",,,,,,"4"
"2022 / 04","Queens","05","4844.6","592.6","682.4",,"107.4",,,,"4"
"2022 / 04","Queens","06","2781.2","377.8","371.8",,,,,,"4"
"2022 / 04","Queens","07","8781.5","937.1","736.3",,,,,,"4"
"2022 / 04","Queens","08","4053.3","438.3","406.6",,,,,,"4"
"2022 / 04","Queens","09","4101.2","432.6","522.7",,"108.5",,,,"4"
"2022 / 04","Queens","10","3835.2","334.8","499.0",,,,,,"4"
"2022 / 04","Queens","11","2961.7","424.9","415.5",,"54.8",,,,"4"
"2022 / 04","Queens","12","7007.0","482.7","854.9",,,,,,"4"
"2022 / 04","Queens","13","5277.3","420.5","785.7",,,,,,"4"
"2022 / 04","Queens","14","3606.3","272.9","247.4",,,,,,"4"
"2022 / 04","Staten Island","01","5770.2","673.5","689.4",,,,,,"5"
"2022 / 04","Staten Island","02","5174.9","505.1","524.3",,"27.1",,,"4.5","5"
"2022 / 04","Staten Island","03","6129.2","724.4","676.6",,"20.3",,,,"5"
"2022 / 05","Bronx","01","3250.0","237.1","141.1",,,,,,"2"
"2022 / 05","Bronx","02","8047.8","242.6","227.7",,,,,,"2"
"2022 / 05","Bronx","03","2033.3","128.7","155.1",,,,,,"2"
"2022 / 05","Bronx","04","3839.8","303.8","352.3",,,,,,"2"
"2022 / 05","Bronx","05","3213.4","201.8","307.3",,,,,,"2"
"2022 / 05","Bronx","06","3381.3","238.5","227.3",,"75.3",,,,"2"
"2022 / 05","Bronx","07","3669.2","314.8","405.9",,,,,,"2"
"2022 / 05","Bronx","08","2307.5","298.1","350.8","35.5",,,,,"2"
"2022 / 05","Bronx","09","3951.8","223.9","350.2",,,,,,"2"
"2022 / 05","Bronx","10","2908.3","284.1","343.3",,,,,,"2"
"2022 / 05","Bronx","11","3400.4","287.3","343.3",,,,,,"2"
"2022 / 05","Bronx","12","4343.7","328.0","549.9",,,,,,"2"
"2022 / 05","Brooklyn","01","5946.1","690.5","457.8","25.6",,,,,"3"
"2022 / 05","Brooklyn","02","2686.1","519.5","388.3","54.2","30.9",,,,"3"
"2022 / 05","Brooklyn","03","4523.1","481.7","371.2",,,,,,"3"
"2022 / 05","Brooklyn","04","4632.0","345.4","351.0",,,,,,"3"
"2022 / 05","Brooklyn","05","5153.2","246.0","459.2",,,,,,"3"
"2022 / 05","Brooklyn","06","2361.0","525.6","392.1","108.5","56.0",,,,"3"
"2022 / 05","Brooklyn","07","3507.7","373.8","358.2","50.5",,,,,"3"
"2022 / 05","Brooklyn","08","5888.1","349.1","308.5",,"43.2",,,,"3"
"2022 / 05","Brooklyn","09","3036.2","293.2","247.0",,,,,,"3"
"2022 / 05","Brooklyn","10","3887.5","425.7","436.8",,,,,,"3"
"2022 / 05","Brooklyn","11","8209.3","569.9","516.1",,"145.4",,,"8.4","3"
"2022 / 05","Brooklyn","12","6834.4","680.2","376.1",,"114.2",,,,"3"
"2022 / 05","Brooklyn","13","2720.9","280.3","232.5",,,,,,"3"
"2022 / 05","Brooklyn","14","4962.4","429.8","398.0",,,,,,"3"
"2022 / 05","Brooklyn","15","4906.3","526.1","475.9",,"55.6",,,,"3"
"2022 / 05","Brooklyn","16","3040.9","137.1","151.3",,,,,,"3"
"2022 / 05","Brooklyn","17","4559.5","279.5","410.2",,,,,,"3"
"2022 / 05","Brooklyn","18","6033.8","534.6","604.0",,,,,,"3"
"2022 / 05","Manhattan","01","1563.5","339.8","222.6",,,,,,"1"
"2022 / 05","Manhattan","02","2242.7","428.8","296.2",,"25.0",,,,"1"
"2022 / 05","Manhattan","03","6099.4","483.1","331.4",,"25.9",,,"26.3","1"
"2022 / 05","Manhattan","04","3333.0","607.7","332.0",,,,,,"1"
"2022 / 05","Manhattan","05","1625.9","272.8","179.9",,,,,,"1"
"2022 / 05","Manhattan","06","3293.9","720.9","359.1","12.2",,,,,"1"
"2022 / 05","Manhattan","07","4617.4","943.3","697.4","40.6","28.9",,,,"1"
"2022 / 05","Manhattan","08","5569.6","980.1","713.2",,,,,,"1"
"2022 / 05","Manhattan","09","2259.2","254.4","240.7",,"18.9",,,,"1"
"2022 / 05","Manhattan","10","6057.0","272.8","248.1",,"30.3",,,,"1"
"2022 / 05","Manhattan","11","2452.7","196.9","174.1",,,,,,"1"
"2022 / 05","Manhattan","12","4707.7","426.3","448.2",,"16.0",,,,"1"
"2022 / 05","Queens","01","4460.2","581.1","573.5",,,,,"13.4","4"
"2022 / 05","Queens","02","4104.9","545.9","413.7",,"213.3",,,,"4"
"2022 / 05","Queens","03","5112.4","333.4","461.1",,,,,,"4"
"2022 / 05","Queens","04","4243.2","309.5","535.0",,,,,,"4"
"2022 / 05","Queens","05","5164.1","581.5","663.8",,"136.1",,,,"4"
"2022 / 05","Queens","06","2913.8","354.4","346.4",,,,,,"4"
"2022 / 05","Queens","07","9520.0","949.0","738.5",,,,,,"4"
"2022 / 05","Queens","08","4266.3","426.3","380.5",,,,,,"4"
"2022 / 05","Queens","09","4426.1","434.1","525.6",,"138.9",,,,"4"
"2022 / 05","Queens","10","4318.6","338.5","531.6",,,,,,"4"
"2022 / 05","Queens","11","3354.5","440.3","435.2",,"79.2",,,,"4"
"2022 / 05","Queens","12","7888.0","504.5","883.2",,,,,,"4"
"2022 / 05","Queens","13","6188.3","465.9","827.3",,,,,,"4"
"2022 / 05","Queens","14","3809.1","267.2","246.7",,,,,,"4"
"2022 / 05","Staten Island","01","6416.8","653.9","708.6",,,,,,"5"
"2022 / 05","Staten Island","02","5861.7","512.0","537.0",,"36.9",,,"4.2","5"
"2022 / 05","Staten Island","03","6787.4","703.6","683.3",,"22.9",,,,"5"
"2022 / 06","Bronx","01","3469.9","282.4","143.2",,,,,,"2"
"2022 / 06","Bronx","02","8487.5","272.9","239.5",,,,,,"2"
"2022 / 06","Bronx","03","2127.8","134.0","171.8",,,,,,"2"
"2022 / 06","Bronx","04","4136.9","311.4","347.9",,,,,,"2"
"2022 / 06","Bronx","05","3366.5","204.4","315.1",,,,,,"2"
"2022 / 06","Bronx","06","3526.2","296.0","252.8",,"70.5",,,,"2"
"2022 / 06","Bronx","07","3917.7","360.2","472.5",,,,,,"2"
"2022 / 06","Bronx","08","2371.5","315.2","358.8","39.5",,,,,"2"
"2022 / 06","Bronx","09","4047.0","252.1","393.8",,,,,,"2"
"2022 / 06","Bronx","10","2964.3","318.8","374.9",,,,,,"2"
"2022 / 06","Bronx","11","3526.3","336.7","380.3",,,,,,"2"
"2022 / 06","Bronx","12","4456.2","399.1","634.5",,,,,,"2"
"2022 / 06","Brooklyn","01","6259.2","756.1","510.9","25.7",,,,,"3"
"2022 / 06","Brooklyn","02","2861.6","563.0","428.1","52.0","23.0",,,,"3"
"2022 / 06","Brooklyn","03","4947.1","498.0","415.4",,,,,,"3"
"2022 / 06","Brooklyn","04","5053.4","387.2","394.8",,,,,,"3"
"2022 / 06","Brooklyn","05","5382.9","293.7","521.5",,,,,,"3"
"2022 / 06","Brooklyn","06","2401.9","566.1","419.1","109.4","42.1",,,,"3"
"2022 / 06","Brooklyn","07","3644.7","398.6","393.7","53.9",,,,,"3"
"2022 / 06","Brooklyn","08","6021.0","345.2","313.3",,"27.5",,,,"3"
"2022 / 06","Brooklyn","09","3345.1","365.5","264.4",,,,,,"3"
"2022 / 06","Brooklyn","10","4085.4","454.1","460.3",,,,,,"3"
"2022 / 06","Brooklyn","11","8816.6","633.6","557.6",,"137.4",,,"7.9","3"
"2022 / 06","Brooklyn","12","7142.8","687.3","412.6",,"120.6",,,,"3"
"2022 / 06","Brooklyn","13","2991.0","302.8","229.6",,,,,,"3"
"2022 / 06","Brooklyn","14","5174.9","446.7","418.0",,,,,,"3"
"2022 / 06","Brooklyn","15","5090.3","562.2","510.2",,"50.7",,,,"3"
"2022 / 06","Brooklyn","16","3283.2","164.2","165.9",,,,,,"3"
"2022 / 06","Brooklyn","17","4931.4","315.4","449.3",,,,,,"3"
"2022 / 06","Brooklyn","18","6410.6","624.1","694.2",,,,,,"3"
"2022 / 06","Manhattan","01","1588.4","374.4","239.8",,,,,,"1"
"2022 / 06","Manhattan","02","2344.6","477.7","306.8",,"22.4",,,,"1"
"2022 / 06","Manhattan","03","6291.9","573.6","394.3",,"21.8",,,"22.5","1"
"2022 / 06","Manhattan","04","3695.9","673.3","368.3",,,,,,"1"
"2022 / 06","Manhattan","05","1716.6","271.0","176.5",,,,,,"1"
"2022 / 06","Manhattan","06","3445.1","775.6","392.4","9.8",,,,,"1"
"2022 / 06","Manhattan","07","4928.9","1017.3","724.0","47.5","21.6",,,,"1"
"2022 / 06","Manhattan","08","5565.0","1015.2","734.0",,,,,,"1"
"2022 / 06","Manhattan","09","2427.0","285.1","261.3",,"14.4",,,,"1"
"2022 / 06","Manhattan","10","6524.8","312.1","265.7",,"25.1",,,,"1"
"2022 / 06","Manhattan","11","2727.0","217.4","192.1",,,,,,"1"
"2022 / 06","Manhattan","12","5250.1","493.5","509.4",,"14.6",,,,"1"
"2022 / 06","Queens","01","4623.1","669.1","627.5",,,,,"13.3","4"
"2022 / 06","Queens","02","4442.5","601.3","434.2",,"229.6",,,,"4"
"2022 / 06","Queens","03","5249.6","386.0","525.7",,,,,,"4"
"2022 / 06","Queens","04","4424.9","355.6","568.8",,,,,,"4"
"2022 / 06","Queens","05","5328.6","632.0","715.9",,"134.9",,,,"4"
"2022 / 06","Queens","06","2956.4","407.0","385.4",,,,,,"4"
"2022 / 06","Queens","07","10001.5","1002.4","798.1",,,,,,"4"
